사용자,순위,추천의자,점수
할머니,1,106,0.04915735125541687
할머니,2,26,0.04915735125541687
할머니,3,28,0.04915735125541687
할머니,4,29,0.04915735125541687
할머니,5,30,0.04915735125541687
다온,1,106,0.04915735125541687
다온,2,26,0.04915735125541687
다온,3,28,0.04915735125541687
다온,4,29,0.04915735125541687
다온,5,30,0.04915735125541687
민아,1,106,0.04915735125541687
민아,2,26,0.04915735125541687
민아,3,28,0.04915735125541687
민아,4,29,0.04915735125541687
민아,5,30,0.04915735125541687
재원,1,106,0.04915735125541687
재원,2,26,0.04915735125541687
재원,3,28,0.04915735125541687
재원,4,29,0.04915735125541687
재원,5,30,0.04915735125541687
