user_id,chair_id,score,label
0,30,0.009065157733857632,1
0,38,0.00849831197410822,1
0,46,0.0051825144328176975,1
0,40,0.0047551956959068775,0
0,3,0.004015160724520683,1
0,6,0.0033732892479747534,0
0,37,0.002320694737136364,0
0,24,0.0014611640945076942,0
0,9,0.0010113933822140098,0
0,14,0.0008068520692177117,0
0,13,0.0005812140880152583,0
1,49,0.020888151600956917,1
1,43,0.009830394759774208,0
1,21,0.009346529841423035,1
1,16,0.0036093073431402445,0
1,6,0.0032450458966195583,0
1,8,0.002921339124441147,0
1,42,0.0027265704702585936,1
1,35,0.0024579933378845453,0
1,17,0.0023855450563132763,0
1,47,0.002135384827852249,0
1,5,0.0020040618255734444,0
1,19,0.0012547599617391825,0
1,7,0.0010339341824874282,0
1,28,0.0009725026902742684,0
1,18,0.0009618954500183463,0
1,14,0.0007761010783724487,0
2,44,0.004916726611554623,0
2,47,0.0029253282118588686,0
2,4,0.002880793297663331,0
2,5,0.0027455075178295374,0
2,50,0.0016583983087912202,0
2,14,0.0010637205559760332,0
2,12,0.0007952754967845976,0
3,33,0.005879558157175779,0
3,22,0.005208727903664112,0
3,16,0.003914790228009224,0
3,36,0.002604480367153883,0
3,26,0.0024201124906539917,0
3,47,0.002316406462341547,0
3,48,0.002204054733738303,0
3,23,0.0015987737569957972,0
3,11,0.0012841307325288653,0
3,28,0.0010550492443144321,0
3,12,0.0006294672493822873,0
4,29,0.008723292499780655,0
4,46,0.005006748251616955,1
4,22,0.004823425784707069,0
4,35,0.002468713326379657,0
4,36,0.002411364112049341,0
4,0,0.0015141749754548073,0
4,24,0.0014115785015746951,0
5,2,0.03437163308262825,1
5,30,0.009068777784705162,1
5,38,0.008501706644892693,1
5,46,0.0051845950074493885,1
5,22,0.004998516757041216,0
5,3,0.0040167816914618015,1
5,35,0.0025588374119251966,0
5,47,0.002222843235358596,0
5,11,0.00123224884737283,0
5,14,0.0008078761748038232,0
6,21,0.009419643320143223,1
6,30,0.008792608976364136,1
6,52,0.006023062393069267,0
6,1,0.005014003254473209,1
6,22,0.004842780064791441,0
6,35,0.002478698268532753,0
6,17,0.002405469538643956,0
6,47,0.0021532245445996523,0
6,9,0.0009809915209189057,0
6,18,0.0009699413785710931,0
7,49,0.012049044482409954,1
7,29,0.004983198828995228,0
7,33,0.0031060082837939262,0
7,22,0.002750751795247197,0
7,40,0.002619840670377016,0
7,41,0.0016578228678554296,0
7,27,0.0014463361585512757,0
7,32,0.0014108138857409358,0
7,26,0.0012763839913532138,0
7,4,0.0012030230136588216,0
7,18,0.0005500123370438814,0
7,12,0.0003317160008009523,0
8,33,0.005386751610785723,0
8,16,0.003586068982258439,0
8,44,0.0035676839761435986,0
8,41,0.0028782328590750694,0
8,36,0.0023855201434344053,0
8,4,0.0020893309265375137,0
8,5,0.0019911371637135744,0
8,20,0.0018555358983576298,0
8,0,0.0014979401603341103,0
8,24,0.001396442181430757,0
8,50,0.0012022898299619555,0
8,18,0.0009556859149597585,0
